Year;Warehousing and storage employment (millions);Total Transportation related labor force (millions);TOTAL U.S. labor force (millions);E-commerce U.S. Retail Sales (Census) (millions);E-commerce sales (US$ billions);U.S. Urban Population %;E-commerce U.S. Retail Sales (Census);Emp;Transportation and warehousing;Air transportation;Couriers and messengers;Pipeline transportation;Rail transportation;Scenic and sightseeing transportation;Support activities for transportation;Transit and ground passenger transportation;Truck transportation;Warehousing and storage;Water transportation;Transportation related manufacturing;Other transportation related industries;Postal service;Government employment, total;Total Transportation related labor force;TOTAL U.S. labor force;OECD;GDP;Domestic demand;Final consumption expenditure;Transport equipment;ICT equipment;Research and development;Changes in inventories;Exports of goods;Imports of goods
1990;0.4094;12.453694;109.526;14.53471171;0.66;75.3;14534.71171;;3478.3;529.3;375;59.8;270.4;15.7;367.3;271.9;1122.7;409.4;56.8;2682.6;4565.1;825.1;902.594;12453.694;109526;;5963144;6040998;4757180;105103;89777;166449;14546;403265;508071
1991;0.4059;12.14034;108.425;14.65006757;1;75.7;14650.06757;;3464.1;525.4;379;60.7;251.8;16.5;380.3;282.2;1104.9;405.9;57.4;2550;4408.5;813.2;904.54;12140.34;108425;;6158129;6186743;4948306;103781;87626;175047;-394;430135;500720
1992;0.4083;11.992637;108.799;14.82310136;1.33;76.1;14823.10136;;3462;519.6;388.9;60.1;241.8;17.7;374.1;287.1;1107.7;408.3;56.7;2466.1;4380.9;800;883.637;11992.637;108799;;6520327;6555066;5245942;104521;97266;178653;16328;455308;544927
1993;0.4161;12.102641;110.931;15.08265203;1.55;76.49;15082.65203;;3552.4;516.6;414.3;58.7;233.4;19.3;386.4;299.8;1155;416.1;52.8;2373.2;4492.1;793.2;891.741;12102.641;110931;;6858559;6923733;5525024;119191;103927;179124;20814;467723;592761
1994;0.4338;12.471112;114.393;15.47197805;2;76.88;15471.97805;;3698.6;511.2;466.2;57;223.3;21.3;410.1;317;1206.4;433.8;52.3;2366.9;4684.6;820.6;900.412;12471.112;114393;;7287236;7379724;5829066;138253;116401;182848;63785;518371;676812
1995;0.4466;12.826186;117.4;16.05596708;5;77.26;16055.96708;;3833.9;510.8;516.8;53.6;218.8;22;436.3;328.9;1249.3;446.6;50.8;2391;4852;849.9;899.386;12826.186;117400;;7639749;7729510;6104333;145803;137430;196674;31174;592442;757449
1996;0.4546;12.31091;119.828;16.93195062;7;77.64;16931.95062;;3930.5;525.7;539.9;51.4;209;23.2;452.5;340.6;1282.6;454.6;51;2383.9;5030.1;867.2;99.21;12310.91;119828;;8073122;8169498;6417484;151676;152213;210784;30799;628785;807448
1997;0.4644;13.337258;122.941;18.24592593;10;78.01;18245.92593;;4020.5;542;546;49.7;202.2;24.5;480.6;351.9;1308.5;464.4;50.7;2434.4;5147.1;866;869.258;13337.258;122941;;8577552;8679523;6757318;160858;170233;225774;70927;699887;885654
1998;0.4772;13.594502;126.146;20.21688889;15;78.38;20216.88889;;4160.8;562.8;568.2;48.1;203.8;25.4;504.6;365.5;1354.7;477.2;50.5;2491.5;5220;880.5;841.702;13594.502;126146;;9062817;9225528;7144856;173374;184223;239604;63719;692565;930751
1999;0.4972;13.880365;129.228;23.17333333;20;78.74;23173.33333;0.053195805;4292.1;586.3;585.9;46.9;205.1;26.1;526.6;374.6;1391.7;497.2;51.7;2494.4;5341.7;889.7;862.465;13880.365;129228;;9631172;9890722;7635185;204030;206911;258965;60816;711724;1051210
